species	id	protein	query	target	pident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA35245	0.946	75	4	0	400	474	1	75	6.874E-40	155
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA35244	0.84	276	29	2	118	379	1	275	1.448E-135	436
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA30086	0.462	264	140	1	202	465	13	274	3.493E-66	233
DNA/ISa	TE_000021		GB:AAA85864	IS150_insB#DNA/IS	0.445	285	152	2	185	465	10	292	1.387E-66	235
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA63547	0.444	227	124	1	239	465	8	232	3.955E-55	201
DNA/ISa	TE_000021		GB:AAA85864	GB:AAA25194	0.365	238	146	4	231	465	13	248	3.721E-32	131
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA36516	0.365	238	146	4	231	465	13	248	3.721E-32	131
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA71079	0.352	255	158	4	214	465	45	295	1.719E-35	141
DNA/ISa	TE_000021		GB:AAA85864	GB:AAA98137	0.332	250	158	6	217	464	13	255	3.037E-30	125
DNA/ISa	TE_000021		GB:AAA85864	GB:CAB61574	0.33	227	149	2	237	462	14	238	1.435E-25	111
DNA/ISa	TE_000021		GB:AAA85864	GB:AAC05649	0.317	236	152	5	240	471	48	278	1.893E-26	113
DNA/ISa	TE_000021		GB:AAA85864	GB:AAC05651	0.317	236	152	5	240	471	48	278	2.53E-26	113
DNA/ISa	TE_000021		GB:AAA85864	GB:AAA88919	0.298	261	167	5	214	465	24	277	4.343E-28	119
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA48850	0.275	236	166	5	234	465	52	286	1.676E-17	85
DNA/ISa	TE_000021		GB:AAA85864	GB:CAA05034	0.265	426	255	12	48	463	8	385	5.809E-28	118
DNA/ISa	TE_000022		GB:AAA88574	GB:AAA88574	1	141	0	0	1	141	1	141	1.859E-87	279
DNA/ISa	TE_000023	transposase	GB:AAA92735	GB:AAA92735	1	340	0	0	1	340	1	340	4.227E-232	707
DNA/ISa	TE_000023	transposase	GB:AAA92735	GB:CAA29385	0.287	181	110	6	115	284	89	261	7.075E-09	56
DNA/ISa	TE_000023	transposase	GB:AAA92735	GB:AAB40346	0.278	287	175	10	13	285	10	278	2.069E-18	86
DNA/ISa	TE_000023	transposase	GB:AAA92735	GB:CAB60067	0.268	268	153	12	65	312	46	290	1.772E-11	64
DNA/ISa	TE_000023	transposase	GB:AAA92735	GB:P19774	0.268	268	153	12	65	312	30	274	1.772E-11	64
DNA/ISa	TE_000023	transposase	GB:AAA92735	GB:AAA25862	0.266	165	108	5	127	285	53	210	7.075E-09	56
DNA/ISa	TE_000024	transposase	GB:AAB00676	GB:AAB00676	1	228	0	0	1	228	1	228	1.984E-151	468
DNA/ISa	TE_000025		GB:AAC05648	GB:AAC05648	1	99	0	0	1	99	1	99	1.206E-56	188
DNA/ISa	TE_000025		GB:AAC05648	O68434_LEPIN/1-85	1	85	0	0	1	85	1	85	3.616E-47	160
DNA/ISa	TE_000025		GB:AAC05648	GB:AAC05650	0.989	99	1	0	1	99	1	99	8.044E-56	185
DNA/ISa	TE_000025		GB:AAC05648	Q7CM17_LEPIN/3-87	0.775	80	18	0	6	85	6	85	9.701E-33	119
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAC63089	1	406	0	0	1	406	1	406	1.182E-278	846
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAF34901	0.429	356	186	7	51	405	61	400	3.003E-79	269
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:CAA25376	0.375	336	189	7	62	395	59	375	3.915E-53	192
DNA/ISa	TE_000026	transposase	GB:AAC63089	IS30_tp#DNA/IS	0.375	336	189	7	62	395	59	375	3.915E-53	192
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAB01723	0.365	342	191	8	62	398	6	326	3.942E-49	181
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:CAB62563	0.355	346	200	7	60	401	7	333	8.399E-54	194
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:CAA41347	0.354	344	197	6	60	399	7	329	4.537E-54	195
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAC98742	0.352	340	195	7	62	397	8	326	1.153E-51	188
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAC38614	0.347	161	91	4	249	400	150	305	1.366E-19	91
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAA72050	0.304	358	208	11	45	397	13	334	1.319E-31	128
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAC06202	0.3	340	198	12	61	395	6	310	3.257E-27	115
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAA27430	0.291	347	215	10	60	403	3	321	6.385E-30	123
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:CAA58055	0.282	170	117	4	229	397	135	300	9.238E-13	69
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAA59388	0.266	345	208	14	58	395	8	314	7.661E-20	92
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAC61485	0.266	345	208	14	58	395	8	314	4.336E-19	89
DNA/ISa	TE_000026	transposase	GB:AAC63089	GB:AAA26892	0.251	346	223	12	60	394	15	335	3.244E-17	83
DNA/ISa	TE_000027		GB:AAC82816	GB:AAC82816	1	424	0	0	1	424	1	424	1.265E-283	861
DNA/ISa	TE_000027		GB:AAC82816	O51966_HALSA/81-343	0.965	263	9	0	81	343	1	263	8.05E-165	518
DNA/ISa	TE_000027		GB:AAC82816	O54644_HALSA/24-278	0.419	231	131	2	82	311	1	229	3.012E-54	196
DNA/ISa	TE_000027		GB:AAC82816	Y4ZB_RHISN/71-297	0.262	206	128	7	136	340	42	224	1.1E-08	56
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:AAC97536	1	387	0	0	1	387	1	387	1.004E-253	773
DNA/ISa	TE_000028	transposase	GB:AAC97536	O31103_ENTFC/3-84	1	82	0	0	3	84	1	82	2.253E-41	157
DNA/ISa	TE_000028	transposase	GB:AAC97536	Q48608_9LACT/1-80	0.435	39	22	0	9	47	7	45	3.191E-05	45
DNA/ISa	TE_000028	transposase	GB:AAC97536	Q9ZGW5_YERPE/7-91	0.411	85	47	2	3	84	1	85	8.332E-07	50
DNA/ISa	TE_000028	transposase	GB:AAC97536	Q51572_PSEAE/2-86	0.39	82	47	2	6	84	4	85	0.0001712	42
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:AAC97540	0.302	370	245	6	9	367	5	372	1.958E-42	160
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:BAA01402	0.3	273	181	5	98	361	5	276	1.743E-36	142
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:AAB01067	0.29	372	236	11	9	361	7	369	3.825E-37	144
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:AAA25196	0.274	259	177	5	111	361	16	271	9.787E-28	116
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:CAA26518	0.259	377	255	10	5	364	4	373	1.318E-27	115
DNA/ISa	TE_000028	transposase	GB:AAC97536	GB:CAB62586	0.241	360	245	9	9	352	5	352	2.307E-23	102
DNA/ISa	TE_000029	transposase	GB:AAD16446	GB:AAD16446	1	533	0	0	1	533	1	533	0	1074
DNA/ISa	TE_000029	transposase	GB:AAD16446	Q9ZAA3_MYCMS/157-459	0.996	303	1	0	157	459	1	303	3.412E-200	626
DNA/ISa	TE_000030	transposase	GB:AAD25737	GB:AAD25737	1	366	0	0	1	366	1	366	1.814E-253	771
DNA/ISa	TE_000030	transposase	GB:AAD25737	GB:AAA68982	0.316	183	120	4	144	323	126	306	3.009E-14	74
DNA/ISa	TE_000030	transposase	GB:AAD25737	GB:AAB42161	0.299	311	185	12	21	323	21	306	1.263E-13	72
DNA/ISa	TE_000030	transposase	GB:AAD25737	GB:CAA65663	0.283	325	203	15	5	323	6	306	9.479E-14	72
DNA/ISa	TE_000030	transposase	GB:AAD25737	GB:AAA85003	0.256	343	210	11	1	323	1	318	2.948E-17	83
DNA/ISa	TE_000031	transposase	GB:AAD38020	GB:AAD38020	1	385	0	0	1	385	1	385	4.752E-257	782
DNA/ISa	TE_000031	transposase	GB:AAD38020	GB:BAA83477	0.992	385	3	0	1	385	1	385	1.892E-254	775
DNA/ISa	TE_000031	transposase	GB:AAD38020	GB:BAA83475	0.991	242	2	0	1	242	1	242	9.058E-158	496
DNA/ISa	TE_000031	transposase	GB:AAD38020	Q9S1C5_PORGI/103-335	0.987	233	3	0	103	335	1	233	1.585E-147	466
DNA/ISa	TE_000032	transposase	GB:BAA21371	GB:BAA21371	1	219	0	0	1	219	1	219	2.138E-143	445
DNA/ISa	TE_000033	transposase	GB:BAA78795	GB:BAA78795	1	514	0	0	1	514	1	514	0	1038
DNA/ISa	TE_000033	transposase	GB:BAA78795	GB:CAA35936	0.318	292	174	6	231	508	4	284	6.25E-32	131
DNA/ISa	TE_000033	transposase	GB:BAA78795	GB:AAA60329	0.312	288	173	6	231	504	4	280	2.729E-30	126
DNA/ISa	TE_000033	transposase	GB:BAA78795	GB:CAB37974	0.293	266	179	4	248	507	22	284	4.859E-25	109
DNA/ISa	TE_000033	transposase	GB:BAA78795	IS3_tp#DNA/IS	0.293	266	179	4	248	507	22	284	4.859E-25	109
DNA/ISa	TE_000033	transposase	GB:BAA78795	GB:AAF43699	0.28	420	252	15	115	508	10	405	1.162E-25	111
DNA/ISa	TE_000034		GB:CAA23539	GB:CAA23539	1	143	0	0	1	143	1	143	4.29E-95	301
DNA/ISa	TE_000035		GB:CAA23540	GB:CAA23540	1	97	0	0	1	97	1	97	3.357E-65	212
DNA/ISa	TE_000036		GB:CAA27829	GB:CAA27829	1	159	0	0	1	159	1	159	9.783E-99	312
DNA/ISa	TE_000037		GB:CAA27830	GB:CAA27830	1	194	0	0	1	194	1	194	2.694E-128	400
DNA/ISa	TE_000038		GB:CAA29384	GB:CAA29384	1	100	0	0	1	100	1	100	2.607E-57	190
DNA/ISa	TE_000038		GB:CAA29384	YIS1_SHISO/2-84	1	83	0	0	2	84	1	83	2.532E-46	158
DNA/ISa	TE_000038		GB:CAA29384	GB:CAA48849	0.405	101	48	5	1	95	1	95	2.006E-07	46
DNA/ISa	TE_000039		GB:CAA30087	GB:CAA30087	1	118	0	0	1	118	1	118	2.031E-76	246
DNA/ISa	TE_000040		GB:CAA35935	GB:CAA35935	1	108	0	0	1	108	1	108	2.674E-67	219
DNA/ISa	TE_000040		GB:CAA35935	GB:AAA60328	0.944	108	6	0	1	108	1	108	6.597E-63	206
DNA/ISa	TE_000040		GB:CAA35935	GB:CAB60068	0.524	101	43	4	6	104	8	105	1.979E-21	87
DNA/ISa	TE_000040		GB:CAA35935	GB:AAB40345	0.464	99	45	2	6	104	6	96	2.188E-15	70
DNA/ISa	TE_000040		GB:CAA35935	Q54335_STRLI/1-83	0.435	85	41	1	6	90	6	83	5.376E-11	57
DNA/ISa	TE_000040		GB:CAA35935	O52713_9PSEU/1-85	0.364	85	49	1	6	90	6	85	4.037E-08	49
DNA/ISa	TE_000041	transposase	GB:CAA48047	GB:CAA48047	1	377	0	0	1	377	1	377	2.218E-253	771
DNA/ISa	TE_000041	transposase	GB:CAA48047	T5377_BACST/95-320	1	226	0	0	95	320	1	226	1.255E-145	460
DNA/ISa	TE_000041	transposase	GB:CAA48047	T4SA_SYNY3/83-297	0.285	217	121	9	116	320	21	215	4.39E-14	73
DNA/ISa	TE_000041	transposase	GB:CAA48047	GB:BAA92234	0.261	352	234	9	19	356	21	360	8.053E-34	134
DNA/ISa	TE_000041	transposase	GB:CAA48047	GB:BAA89703	0.252	305	179	14	74	359	62	336	2.497E-15	77
DNA/ISa	TE_000042		GB:CAA48851	GB:CAA48851	1	169	0	0	1	169	1	169	1.814E-113	355
DNA/ISa	TE_000043		GB:CAA68803	GB:CAA68803	1	102	0	0	1	102	1	102	9.676E-67	217
DNA/ISa	TE_000044		GB:CAA71078	GB:CAA71078	1	185	0	0	1	185	1	185	8.775E-125	389
DNA/ISa	TE_000044		GB:CAA71078	Q56240_THEAQ/5-87	0.389	95	46	2	84	178	1	83	1.022E-11	62
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAB50739	1	411	0	0	1	411	1	411	1.604E-269	820
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA23542	0.736	110	29	0	19	128	7	116	6.524E-42	159
DNA/ISa	TE_000045	transposase	GB:CAB50739	O50654_BURGL/7-97	0.692	91	28	0	19	109	1	91	5.167E-30	123
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:BAA24920	0.653	401	137	2	13	411	1	401	6.965E-166	520
DNA/ISa	TE_000045	transposase	GB:CAB50739	Q52956_RHIME/14-104	0.637	91	33	0	19	109	1	91	5.253E-25	108
DNA/ISa	TE_000045	transposase	GB:CAB50739	IS2_tp#DNA/IS	0.627	247	91	1	160	405	2	248	6.816E-95	315
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA39914	0.591	120	48	1	13	131	8	127	3.837E-30	124
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA23541	0.589	280	114	1	127	405	7	286	1.646E-99	328
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:AAD28752	0.553	271	118	2	134	403	1	269	3.96E-85	286
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA39915	0.553	271	118	2	134	403	1	269	3.96E-85	286
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:AAC44031	0.553	132	53	2	1	131	1	127	5.167E-30	123
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:AAC44032	0.538	271	122	2	134	403	1	269	1.482E-82	279
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA27831	0.536	192	88	1	216	406	1	192	2.441E-53	193
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA39913	0.5	274	134	2	134	406	1	272	1.578E-70	244
DNA/ISa	TE_000045	transposase	GB:CAB50739	Q44423_9RHIZ/14-104	0.477	88	46	0	22	109	4	91	5.996E-17	83
DNA/ISa	TE_000045	transposase	GB:CAB50739	GB:CAA39912	0.449	118	65	0	13	130	8	125	3.336E-21	96
DNA/ISa	TE_000046	transposase	GB:CAB61575	GB:CAB61575	1	110	0	0	1	110	1	110	3.694E-66	216
DNA/ISb	TE_000047	repressor	GB:AAB61272	GB:AAB61272	1	91	0	0	1	91	1	91	9.727E-59	193
DNA/ISb	TE_000048		GB:CAA23879	GB:CAA23879	1	167	0	0	1	167	1	167	3.401E-114	357
DNA/ISb	TE_000048		GB:CAA23879	INBD_SHIDY/1-131	0.984	131	2	0	37	167	1	131	1.871E-84	272
DNA/ISb	TE_000048		GB:CAA23879	GB:AAB61273	0.925	161	12	0	7	167	7	167	4.886E-101	319
DNA/ISb	TE_000048		GB:CAA23879	INBN_SHIDY/2-131	0.46	128	67	2	38	165	2	127	7.809E-33	123
DNA/ISb	TE_000049	transposase	GB:CAA34970	GB:CAA34970	1	426	0	0	1	426	1	426	2.154E-307	930
DNA/ISb	TE_000049	transposase	GB:CAA34970	GB:CAA07835	0.365	312	193	3	8	318	13	320	6.835E-68	237
DNA/ISb	TE_000049	transposase	GB:CAA34970	GB:CAA40540	0.361	384	238	5	3	383	18	397	9.305E-80	271
DNA/ISb	TE_000049	transposase	GB:CAA34970	T801_PSESH/155-339	0.359	178	112	2	142	318	1	177	1.736E-32	131
DNA/ISb	TE_000049	transposase	GB:CAA34970	Q9AFR5_SHIFL/144-328	0.353	178	113	2	142	318	1	177	8.301E-31	126
DNA/ISb	TE_000049	transposase	GB:CAA34970	Y4QJ_RHISN/143-333	0.283	194	111	7	142	318	1	183	2.523E-13	71
DNA/ISb	TE_000049	transposase	GB:CAA34970	Q989G7_RHILO/143-335	0.274	193	126	6	142	323	1	190	5.623E-12	67
DNA/ISb	TE_000049	transposase	GB:CAA34970	Q981L3_RHILO/137-327	0.259	189	132	6	142	323	1	188	3.2E-12	68
DNA/ISb	TE_000049	transposase	GB:CAA34970	Q56753_9FLAO/152-327	0.244	184	128	4	142	324	1	174	8.946E-17	82
DNA/ISb	TE_000050		GB:CAA40541	GB:CAA40541	1	199	0	0	1	199	1	199	1.207E-127	398
DNA/Maverick/Maverick-Polinton	TE_000051		Polinton-1_CB_pc2#DNA/Maverick	Polinton-1_CB_pc2#DNA/Maverick	1	352	0	0	1	352	1	352	9.007E-234	713
DNA/Maverick/Maverick-Polinton	TE_000052		Polinton-1_DY_pw#DNA/Maverick	Polinton-1_DY_pw#DNA/Maverick	1	156	0	0	1	156	1	156	1.372E-93	297
DNA/Maverick/Maverick-Polinton	TE_000053		Polinton-1_DY_px#DNA/Maverick	Polinton-1_DY_px#DNA/Maverick	1	182	0	0	1	182	1	182	1.345E-120	377
DNA/Maverick/Maverick-Polinton	TE_000054		Polinton-1_EI_atp#DNA/Maverick	Polinton-1_EI_atp#DNA/Maverick	1	281	0	0	1	281	1	281	1.289E-183	564
DNA/Maverick/Maverick-Polinton	TE_000054		Polinton-1_EI_atp#DNA/Maverick	Polinton-1_TV_atp#DNA/Maverick	0.317	252	154	7	36	272	18	266	1.722E-32	127
DNA/Maverick/Maverick-Polinton	TE_000055		Polinton-1_EI_atp1#DNA/Maverick	Polinton-1_EI_atp1#DNA/Maverick	1	422	0	0	1	422	1	422	6.133E-284	862
DNA/Maverick/Maverick-Polinton	TE_000056		Polinton-1_GI_pgi1#DNA/Maverick	Polinton-1_GI_pgi1#DNA/Maverick	1	263	0	0	1	263	1	263	5.833E-178	547
DNA/Maverick/Maverick-Polinton	TE_000057		Polinton-1_GI_pgi2#DNA/Maverick	Polinton-1_GI_pgi2#DNA/Maverick	1	972	0	0	1	972	1	972	0	1888
DNA/Maverick/Maverick-Polinton	TE_000058		Polinton-1_NV_pro#DNA/Maverick	Polinton-1_NV_pro#DNA/Maverick	1	434	0	0	1	434	1	434	1.747E-288	876
DNA/Maverick/Maverick-Polinton	TE_000058		Polinton-1_NV_pro#DNA/Maverick	Polinton-2_CB_pro#DNA/Maverick	0.495	115	53	3	286	397	9	121	2.115E-26	113
DNA/Maverick/Maverick-Polinton	TE_000058		Polinton-1_NV_pro#DNA/Maverick	Polinton-1_CB_pro#DNA/Maverick	0.456	114	59	2	286	397	10	122	1.293E-23	104
DNA/Maverick/Maverick-Polinton	TE_000058		Polinton-1_NV_pro#DNA/Maverick	Polinton-2_TC_pro#DNA/Maverick	0.396	121	67	4	281	397	9	127	4.209E-20	93
DNA/Maverick/Maverick-Polinton	TE_000058		Polinton-1_NV_pro#DNA/Maverick	Polinton-3_TC_pro#DNA/Maverick	0.354	158	89	6	281	432	5	155	2.366E-21	97
DNA/Maverick/Maverick-Polinton	TE_000059		Polinton-1_NV_px1#DNA/Maverick	Polinton-1_NV_px1#DNA/Maverick	1	356	0	0	1	356	1	356	2.09E-230	704
DNA/Maverick/Maverick-Polinton	TE_000060		Polinton-1_NV_px2#DNA/Maverick	Polinton-1_NV_px2#DNA/Maverick	1	259	0	0	1	259	1	259	6.808E-175	538
DNA/Maverick/Maverick-Polinton	TE_000060		Polinton-1_NV_px2#DNA/Maverick	Polinton-4_NV_px1#DNA/Maverick	0.3	253	160	7	7	256	16	254	2.767E-29	117
